9,12,2001,8,13,26,35,45,51,
9,15,2001,1,15,24,31,34,44,
9,19,2001,3,8,29,30,31,49,
9,22,2001,21,25,39,50,54,59,
9,26,2001,15,19,32,38,47,50,
9,29,2001,21,25,27,39,44,56,
10,3,2001,3,8,13,21,33,41,
10,6,2001,8,14,19,35,42,50,
10,10,2001,1,6,23,30,40,51,
10,13,2001,5,17,30,35,41,49,
10,17,2001,5,8,21,24,50,56,
10,20,2001,8,18,34,44,50,54,
10,24,2001,3,8,25,31,38,44,
10,27,2001,1,17,25,27,28,50,
10,31,2001,1,2,32,33,36,39,
11,3,2001,7,12,20,34,51,52,
11,7,2001,8,18,21,22,26,49,
11,10,2001,9,10,20,34,55,56,
11,14,2001,6,8,11,17,22,41,
11,17,2001,21,27,29,34,41,48,
11,21,2001,5,7,13,38,44,48,
11,24,2001,5,22,35,47,52,58,
11,28,2001,10,25,35,45,48,49,
12,1,2001,2,14,15,21,48,51,
12,5,2001,7,43,46,49,52,57,
12,8,2001,1,11,35,50,55,56,
12,12,2001,6,15,18,31,48,53,
12,15,2001,2,9,18,26,36,57,
12,19,2001,6,15,26,30,55,56,
12,22,2001,19,20,25,36,38,53,
12,26,2001,2,18,21,38,39,44,
12,29,2001,17,26,35,47,55,57,
1,2,2002,1,10,20,23,29,31,
1,5,2002,1,17,32,42,43,54,
1,9,2002,11,15,31,39,47,48,
1,12,2002,1,10,17,20,23,34,
1,16,2002,5,16,21,30,38,49,
1,19,2002,11,23,28,39,44,53,
1,23,2002,11,16,20,22,30,37,
1,26,2002,1,9,32,36,56,57,
1,30,2002,9,16,21,28,30,48,
2,2,2002,18,34,37,38,42,55,
2,6,2002,2,3,30,43,55,59,
2,9,2002,16,25,28,29,46,48,
2,13,2002,14,30,33,45,52,59,
2,16,2002,14,17,23,25,39,45,
2,20,2002,4,5,10,46,50,56,
2,23,2002,4,24,30,37,40,45,
2,27,2002,8,19,22,31,44,53,
3,2,2002,15,18,25,26,27,52,
3,6,2002,7,17,29,47,57,59,
3,9,2002,8,20,22,24,33,41,
3,13,2002,4,7,19,21,26,56,
3,16,2002,7,19,44,47,48,54,
3,20,2002,3,16,27,33,51,58,
3,23,2002,8,23,25,26,40,58,
3,27,2002,9,16,20,32,34,41,
3,30,2002,21,24,36,38,41,47,
4,3,2002,2,19,26,33,50,58,
4,6,2002,15,31,33,37,49,55,
4,10,2002,2,8,11,16,37,54,
4,13,2002,7,9,13,33,35,59,
4,17,2002,2,11,15,19,23,56,
4,20,2002,2,8,17,23,27,55,
4,24,2002,7,26,39,41,50,56,
4,27,2002,8,9,10,22,31,49,
5,1,2002,10,20,30,31,42,49,
5,4,2002,4,8,14,27,44,50,
5,8,2002,6,10,17,31,35,51,
5,11,2002,5,7,21,27,29,50,
5,15,2002,6,12,15,23,39,56,
5,18,2002,16,24,32,34,39,54,
5,22,2002,9,12,13,14,23,53,
5,25,2002,1,5,10,16,28,34,
5,29,2002,5,14,23,25,33,48,
6,1,2002,4,44,46,49,54,59,
6,5,2002,12,15,31,40,47,59,
6,8,2002,6,26,35,39,50,52,
6,12,2002,14,20,21,47,51,54,
6,15,2002,7,16,30,40,51,56,
6,19,2002,3,14,22,45,50,56,
6,22,2002,1,7,11,22,42,52,
6,26,2002,6,10,13,27,29,43,
6,29,2002,2,15,20,24,48,53,
7,3,2002,7,11,21,42,45,52,
7,6,2002,4,20,26,30,54,58,
7,10,2002,27,36,37,51,58,59,
7,13,2002,5,7,15,23,32,44,
7,17,2002,18,22,30,51,55,59,
7,20,2002,3,10,24,29,44,52,
7,24,2002,18,19,25,42,52,56,
7,27,2002,7,28,37,45,48,52,
7,31,2002,5,13,21,23,38,57,
8,3,2002,4,10,28,35,38,55,
8,7,2002,2,15,23,39,54,56,
8,10,2002,5,13,23,33,45,57,
8,14,2002,6,9,29,33,52,57,
8,17,2002,4,6,19,24,33,41,
8,21,2002,4,6,7,20,44,57,
8,24,2002,13,15,19,32,34,48,
8,28,2002,9,35,41,45,54,55,
8,31,2002,7,17,36,38,48,55,
9,4,2002,9,12,18,33,36,50,
9,7,2002,3,23,29,38,45,58,
9,11,2002,3,7,11,15,52,58,
9,14,2002,11,18,35,51,53,55,
9,18,2002,4,10,23,47,53,58,
9,21,2002,14,35,36,44,51,58,
9,25,2002,3,11,16,17,46,53,
9,28,2002,8,39,42,44,48,49,
10,2,2002,11,20,23,28,45,57,
10,5,2002,2,9,10,16,24,44,
10,9,2002,5,24,29,31,39,48,
10,12,2002,1,2,18,42,55,57,
10,16,2002,5,6,23,35,36,44,
10,19,2002,1,20,25,40,42,46,
10,23,2002,3,11,29,37,41,49,
10,26,2002,13,22,27,46,49,53,
10,30,2002,9,20,21,28,32,50,
11,2,2002,2,5,11,24,45,52,
11,6,2002,24,27,37,50,51,58,
11,9,2002,8,26,34,35,44,50,
11,13,2002,16,19,28,32,53,54,
11,16,2002,19,30,36,39,46,47,
11,20,2002,4,9,17,21,43,57,
11,23,2002,4,12,13,17,49,58,
11,27,2002,4,17,35,39,43,45,
11,30,2002,1,14,32,35,41,54,
12,4,2002,6,14,24,29,35,54,
12,7,2002,1,9,11,48,50,53,
12,11,2002,1,12,14,22,23,28,
12,14,2002,6,14,25,44,45,58,
12,18,2002,2,24,38,49,55,57,
12,21,2002,3,13,30,40,47,57,
12,24,2002,10,15,29,34,36,43,
12,28,2002,15,30,31,43,53,54,
1,1,2003,22,37,40,44,45,49,
1,4,2003,4,28,36,37,54,56,
1,8,2003,12,15,31,40,45,50,
1,11,2003,4,12,14,27,29,35,
1,15,2003,17,19,20,22,31,50,
1,18,2003,2,10,33,39,41,52,
1,22,2003,20,24,31,38,43,47,
1,25,2003,10,12,34,45,51,55,
1,29,2003,3,4,30,37,43,53,
2,1,2003,21,29,38,39,51,54,
2,5,2003,5,6,16,20,56,59,
2,8,2003,7,12,26,33,38,39,
2,12,2003,3,5,29,39,42,43,
2,15,2003,19,23,28,41,43,55,
2,19,2003,1,24,27,36,51,55,
2,22,2003,7,8,30,39,41,57,
2,26,2003,11,27,31,41,42,56,
3,1,2003,8,20,30,32,46,58,
3,5,2003,12,13,14,31,34,48,
3,8,2003,10,12,16,20,28,47,
3,12,2003,4,31,35,42,46,58,
3,15,2003,5,16,25,28,34,45,
3,19,2003,2,7,31,33,48,55,
3,22,2003,6,14,27,38,50,58,
3,26,2003,21,32,38,47,48,58,
3,29,2003,7,8,17,21,25,32,
4,2,2003,10,14,24,43,45,53,
4,5,2003,10,22,25,33,34,54,
4,9,2003,4,19,22,25,43,44,
4,12,2003,15,17,19,27,36,57,
4,16,2003,2,9,13,19,24,46,
4,19,2003,3,10,14,22,46,47,
4,23,2003,2,10,18,25,38,40,
