9,12,2001,8,13,26
9,15,2001,1,15,24
9,19,2001,3,8,29
9,22,2001,21,25,39
9,26,2001,15,19,32
9,29,2001,21,25,27
10,3,2001,3,8,13
10,6,2001,8,14,19
10,10,2001,1,6,23
10,13,2001,5,17,30
10,17,2001,5,8,21
10,20,2001,8,18,34
10,24,2001,3,8,25
10,27,2001,1,17,25
10,31,2001,1,2,32
11,3,2001,7,12,20
11,7,2001,8,18,21
11,10,2001,9,10,20
11,14,2001,6,8,11
11,17,2001,21,27,29
11,21,2001,5,7,13
11,24,2001,5,22,35
11,28,2001,10,25,35
12,1,2001,2,14,15
12,5,2001,7,43,46
12,8,2001,1,11,35
12,12,2001,6,15,18
12,15,2001,2,9,18
12,19,2001,6,15,26
12,22,2001,19,20,25
12,26,2001,2,18,21
12,29,2001,17,26,35
1,2,2002,1,10,20
1,5,2002,1,17,32
1,9,2002,11,15,31
1,12,2002,1,10,17
1,16,2002,5,16,21
1,19,2002,11,23,28
1,23,2002,11,16,20
1,26,2002,1,9,32
1,30,2002,9,16,21
2,2,2002,18,34,37
2,6,2002,2,3,30
2,9,2002,16,25,28
2,13,2002,14,30,33
2,16,2002,14,17,23
2,20,2002,4,5,10
2,23,2002,4,24,30
2,27,2002,8,19,22
3,2,2002,15,18,25
3,6,2002,7,17,29
3,9,2002,8,20,22
3,13,2002,4,7,19
3,16,2002,7,19,44
3,20,2002,3,16,27
3,23,2002,8,23,25
3,27,2002,9,16,20
3,30,2002,21,24,36
4,3,2002,2,19,26
4,6,2002,15,31,33
4,10,2002,2,8,11
4,13,2002,7,9,13
4,17,2002,2,11,15
4,20,2002,2,8,17
4,24,2002,7,26,39
4,27,2002,8,9,10
5,1,2002,10,20,30
5,4,2002,4,8,14
5,8,2002,6,10,17
5,11,2002,5,7,21
5,15,2002,6,12,15
5,18,2002,16,24,32
5,22,2002,9,12,13
5,25,2002,1,5,10
5,29,2002,5,14,23
6,1,2002,4,44,46
6,5,2002,12,15,31
6,8,2002,6,26,35
6,12,2002,14,20,21
6,15,2002,7,16,30
6,19,2002,3,14,22
6,22,2002,1,7,11
6,26,2002,6,10,13
6,29,2002,2,15,20
7,3,2002,7,11,21
7,6,2002,4,20,26
7,10,2002,27,36,37
7,13,2002,5,7,15
7,17,2002,18,22,30
7,20,2002,3,10,24
7,24,2002,18,19,25
7,27,2002,7,28,37
7,31,2002,5,13,21
8,3,2002,4,10,28
8,7,2002,2,15,23
8,10,2002,5,13,23
8,14,2002,6,9,29
8,17,2002,4,6,19
