9,12,2001,8,13,26,35,
9,15,2001,1,15,24,31,
9,19,2001,3,8,29,30,
9,22,2001,21,25,39,50,
9,26,2001,15,19,32,38,
9,29,2001,21,25,27,39,
10,3,2001,3,8,13,21,
10,6,2001,8,14,19,35,
10,10,2001,1,6,23,30,
10,13,2001,5,17,30,35,
10,17,2001,5,8,21,24,
10,20,2001,8,18,34,44,
10,24,2001,3,8,25,31,
10,27,2001,1,17,25,27,
10,31,2001,1,2,32,33,
11,3,2001,7,12,20,34,
11,7,2001,8,18,21,22,
11,10,2001,9,10,20,34,
11,14,2001,6,8,11,17,
11,17,2001,21,27,29,34,
11,21,2001,5,7,13,38,
11,24,2001,5,22,35,47,
11,28,2001,10,25,35,45,
12,1,2001,2,14,15,21,
12,5,2001,7,43,46,49,
12,8,2001,1,11,35,50,
12,12,2001,6,15,18,31,
12,15,2001,2,9,18,26,
12,19,2001,6,15,26,30,
12,22,2001,19,20,25,36,
12,26,2001,2,18,21,38,
12,29,2001,17,26,35,47,
1,2,2002,1,10,20,23,
1,5,2002,1,17,32,42,
1,9,2002,11,15,31,39,
1,12,2002,1,10,17,20,
1,16,2002,5,16,21,30,
1,19,2002,11,23,28,39,
1,23,2002,11,16,20,22,
1,26,2002,1,9,32,36,
1,30,2002,9,16,21,28,
2,2,2002,18,34,37,38,
2,6,2002,2,3,30,43,
2,9,2002,16,25,28,29,
2,13,2002,14,30,33,45,
2,16,2002,14,17,23,25,
2,20,2002,4,5,10,46,
2,23,2002,4,24,30,37,
2,27,2002,8,19,22,31,
3,2,2002,15,18,25,26,
3,6,2002,7,17,29,47,
3,9,2002,8,20,22,24,
3,13,2002,4,7,19,21,
3,16,2002,7,19,44,47,
3,20,2002,3,16,27,33,
3,23,2002,8,23,25,26,
3,27,2002,9,16,20,32,
3,30,2002,21,24,36,38,
4,3,2002,2,19,26,33,
4,6,2002,15,31,33,37,
4,10,2002,2,8,11,16,
4,13,2002,7,9,13,33,
4,17,2002,2,11,15,19,
4,20,2002,2,8,17,23,
4,24,2002,7,26,39,41,
4,27,2002,8,9,10,22,
